"semester","subject","grade","credits"
"2","Chemistry of materials","B+","4"
"3","Logic and abstract algebra","U","4"
"4","Probability and statistics","U","4"
"2","Data structures","c","4"
"2","Computer architecture","U","3"
"3","Combinatorics and graph theory","B","4"
"3","python programming laboratory","U","2"
"4","Theory of computation","C","4"
"4","Database management systems","U","3"
"4","Java and internet programming","C","3"
"4","Computer networks","B","4"
"4","Java and internet programming laboratory","B+","2"
"4","Database management systems","A","2"
"4","Computational laboratory using R","A","2"
